circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:1815756|1825499	chr1	1815756	1825499	11	2_3_1	139	0.137	exon	uc057bjj.1,uc031tmu.1,uc001aif.5,uc057bjk.1,uc057bji.1,	-	ST-E00206:209:H5CCCALXX:5:1222:3486:29156,ST-E00206:201:H5L57ALXX:4:1210:5344:24743,ST-E00206:201:H5L57ALXX:4:1218:31318:34360,ST-E00206:209:H5CCCALXX:5:2207:10114:62471,ST-E00206:201:H5L57ALXX:4:2111:4704:40091,ST-E00206:201:H5L57ALXX:4:2211:31358:17483,ST-E00206:209:H5CCCALXX:5:1121:13413:11822,ST-E00206:209:H5CCCALXX:5:1207:11586:48987,ST-E00206:209:H5CCCALXX:5:1207:11647:49022,ST-E00206:209:H5CCCALXX:5:1207:11515:65283,ST-E00206:209:H5CCCALXX:5:1207:11931:68676,
chr1:1815756|1839238	chr1	1815756	1839238	36	9_3_16	117	0.381	exon	uc057bjj.1,uc001aif.5,uc057bji.1,	-	ST-E00206:201:H5L57ALXX:4:1104:30374:44574,ST-E00206:209:H5CCCALXX:5:2108:5709:13492,ST-E00206:209:H5CCCALXX:5:2114:23969:31160,ST-E00206:201:H5L57ALXX:4:1124:10622:30510,ST-E00206:201:H5L57ALXX:4:1124:10612:30527,ST-E00206:201:H5L57ALXX:4:2101:31511:61662,ST-E00206:209:H5CCCALXX:5:2106:18255:4245,ST-E00206:209:H5CCCALXX:5:2105:2086:34922,ST-E00206:201:H5L57ALXX:4:2107:4106:48899,ST-E00206:201:H5L57ALXX:4:2107:4339:53522,ST-E00206:201:H5L57ALXX:4:2113:25116:45769,ST-E00206:201:H5L57ALXX:4:2113:25583:46086,ST-E00206:209:H5CCCALXX:5:2203:5790:13281,ST-E00206:201:H5L57ALXX:4:2204:10744:44468,ST-E00206:201:H5L57ALXX:4:2206:3659:27767,ST-E00206:201:H5L57ALXX:4:2214:24538:2223,ST-E00206:201:H5L57ALXX:4:2214:24213:2469,ST-E00206:201:H5L57ALXX:4:2215:26842:39757,ST-E00206:201:H5L57ALXX:4:2216:9434:10134,ST-E00206:209:H5CCCALXX:5:1106:18133:16023,ST-E00206:209:H5CCCALXX:5:2108:5821:13650,ST-E00206:209:H5CCCALXX:5:1122:14245:21210,ST-E00206:209:H5CCCALXX:5:1122:13981:21491,ST-E00206:209:H5CCCALXX:5:1207:13403:12402,ST-E00206:201:H5L57ALXX:4:1114:15534:61381,ST-E00206:201:H5L57ALXX:4:1114:15545:61433,ST-E00206:201:H5L57ALXX:4:2109:11941:25306,ST-E00206:201:H5L57ALXX:4:2122:29085:60379,ST-E00206:201:H5L57ALXX:4:2212:2908:55755,ST-E00206:209:H5CCCALXX:5:1114:13129:51553,ST-E00206:209:H5CCCALXX:5:1114:12560:54542,ST-E00206:209:H5CCCALXX:5:1116:9130:30211,ST-E00206:209:H5CCCALXX:5:1123:29724:62400,ST-E00206:209:H5CCCALXX:5:1205:29521:49215,ST-E00206:209:H5CCCALXX:5:1205:29379:51571,ST-E00206:209:H5CCCALXX:5:1205:30120:55351,
chr1:1815756|1879902	chr1	1815756	1879902	4	2_1_0	105	0.071	intron	uc009vky.4,uc031tmu.1,uc001aif.5,uc057bji.1,uc057bjj.1,	-	ST-E00206:201:H5L57ALXX:4:1108:32252:68466,ST-E00206:201:H5L57ALXX:4:2120:15869:15021,ST-E00206:201:H5L57ALXX:4:2120:15971:15092,ST-E00206:201:H5L57ALXX:4:1108:31988:68571,
chr1:1825397|1839238	chr1	1825397	1839238	3	1_0_2	77	0.072	exon	uc057bji.1,uc001aif.5,uc057bjj.1,uc009vky.4,	-	ST-E00206:201:H5L57ALXX:4:2221:27461:70751,ST-E00206:201:H5L57ALXX:4:2222:7049:6565,ST-E00206:209:H5CCCALXX:5:2113:2918:46385,
chr1:2302978|2304585	chr1	2302978	2304585	7	2_2_1	52	0.212	exon	uc001aja.5,	+	ST-E00206:201:H5L57ALXX:4:2120:19706:30281,ST-E00206:201:H5L57ALXX:4:2121:21817:30562,ST-E00206:201:H5L57ALXX:4:2203:15656:13703,ST-E00206:209:H5CCCALXX:5:2118:23066:65178,ST-E00206:201:H5L57ALXX:4:1115:13413:68395,ST-E00206:201:H5L57ALXX:4:2104:26436:4245,ST-E00206:209:H5CCCALXX:5:2224:21523:34729,
chr1:3829266|3845351	chr1	3829266	3845351	2	2_0_1	20	0.167	exon	uc001aky.3,	-	ST-E00206:209:H5CCCALXX:5:2207:17940:65020,ST-E00206:201:H5L57ALXX:4:1114:29805:48266,
chr1:5961794|5986327	chr1	5961794	5986327	7	3_3_0	3	0.824	exon	uc057bse.1,uc057bsf.1,uc057bsj.1,uc001alq.3,	-	ST-E00206:201:H5L57ALXX:4:1102:32272:46455,ST-E00206:201:H5L57ALXX:4:1117:9840:21069,ST-E00206:201:H5L57ALXX:4:1203:6278:64123,ST-E00206:201:H5L57ALXX:4:1204:25796:14424,ST-E00206:209:H5CCCALXX:5:2120:9505:23267,ST-E00206:201:H5L57ALXX:4:2104:30607:60238,ST-E00206:209:H5CCCALXX:5:2210:21635:68501,
chr1:6549571|6550615	chr1	6549571	6550615	9	2_2_0	1	0.947	exon	uc001ans.4,	-	ST-E00206:201:H5L57ALXX:4:1109:7435:57900,ST-E00206:201:H5L57ALXX:4:1222:16336:54472,ST-E00206:201:H5L57ALXX:4:2212:25634:37594,ST-E00206:201:H5L57ALXX:4:1209:24974:60291,ST-E00206:209:H5CCCALXX:5:2213:28039:5159,ST-E00206:209:H5CCCALXX:5:2213:28151:4333,ST-E00206:201:H5L57ALXX:4:2208:30404:25499,ST-E00206:201:H5L57ALXX:4:2212:23127:45629,ST-E00206:209:H5CCCALXX:5:2219:11952:58550,
chr1:6599047|6599452	chr1	6599047	6599452	5	3_3_0	57	0.149	exon	uc057bvy.1,uc001anz.2,uc057bvw.1,uc001aoa.3,uc057bvz.1,	-	ST-E00206:209:H5CCCALXX:5:2114:27440:46103,ST-E00206:209:H5CCCALXX:5:2114:27217:46209,ST-E00206:209:H5CCCALXX:5:2114:26699:46754,ST-E00206:209:H5CCCALXX:5:1114:25532:55737,ST-E00206:209:H5CCCALXX:5:1114:24954:51501,
chr1:6806983|6888899	chr1	6806983	6888899	5	3_0_3	4	0.714	intron	uc001aoi.3,	+	ST-E00206:209:H5CCCALXX:5:2114:4004:29138,ST-E00206:201:H5L57ALXX:4:1211:15524:69977,ST-E00206:201:H5L57ALXX:4:2201:10165:32356,ST-E00206:209:H5CCCALXX:5:1213:22609:60941,ST-E00206:209:H5CCCALXX:5:1213:22619:60959,
chr1:6820181|6888899	chr1	6820181	6888899	6	1_1_3	14	0.462	intron	uc001aoi.3,	+	ST-E00206:201:H5L57ALXX:4:1112:28557:2082,ST-E00206:209:H5CCCALXX:5:2210:9262:32303,ST-E00206:209:H5CCCALXX:5:2214:16458:29332,ST-E00206:201:H5L57ALXX:4:2109:31663:67551,ST-E00206:201:H5L57ALXX:4:2210:9231:58410,ST-E00206:209:H5CCCALXX:5:2115:3578:41058,
chr1:7777160|7778169	chr1	7777160	7778169	114	22_7_22	19	0.923	exon	uc057bxn.1,uc001aol.3,	+	ST-E00206:201:H5L57ALXX:4:1101:32871:40917,ST-E00206:201:H5L57ALXX:4:1112:8298:47967,ST-E00206:201:H5L57ALXX:4:1116:16407:10433,ST-E00206:201:H5L57ALXX:4:1117:27055:8868,ST-E00206:201:H5L57ALXX:4:1118:32769:4842,ST-E00206:201:H5L57ALXX:4:1120:26811:32496,ST-E00206:201:H5L57ALXX:4:1121:24710:35643,ST-E00206:201:H5L57ALXX:4:1122:26314:27029,ST-E00206:201:H5L57ALXX:4:1122:22751:45224,ST-E00206:201:H5L57ALXX:4:1205:12114:14248,ST-E00206:201:H5L57ALXX:4:1205:27775:42710,ST-E00206:209:H5CCCALXX:5:2124:16397:36821,ST-E00206:201:H5L57ALXX:4:1209:23188:54911,ST-E00206:201:H5L57ALXX:4:1209:23198:54929,ST-E00206:201:H5L57ALXX:4:1212:22254:22141,ST-E00206:209:H5CCCALXX:5:2122:2613:62453,ST-E00206:209:H5CCCALXX:5:2210:16793:15426,ST-E00206:209:H5CCCALXX:5:2214:5730:49496,ST-E00206:209:H5CCCALXX:5:2110:2289:20295,ST-E00206:201:H5L57ALXX:4:2107:15524:49198,ST-E00206:209:H5CCCALXX:5:2214:5801:49268,ST-E00206:201:H5L57ALXX:4:2110:22467:4684,ST-E00206:209:H5CCCALXX:5:2105:25624:57583,ST-E00206:201:H5L57ALXX:4:2113:4918:49883,ST-E00206:201:H5L57ALXX:4:2114:13535:29578,ST-E00206:201:H5L57ALXX:4:2117:12144:60572,ST-E00206:201:H5L57ALXX:4:2118:28445:42921,ST-E00206:201:H5L57ALXX:4:2119:17686:69081,ST-E00206:201:H5L57ALXX:4:2119:17767:69221,ST-E00206:201:H5L57ALXX:4:2121:6389:36047,ST-E00206:201:H5L57ALXX:4:2202:9211:30914,ST-E00206:201:H5L57ALXX:4:2203:26425:48072,ST-E00206:209:H5CCCALXX:5:2214:5638:49725,ST-E00206:201:H5L57ALXX:4:2209:6298:57478,ST-E00206:201:H5L57ALXX:4:2217:13271:42693,ST-E00206:209:H5CCCALXX:5:1223:21493:10240,ST-E00206:209:H5CCCALXX:5:1219:14256:50446,ST-E00206:201:H5L57ALXX:4:2220:13403:61029,ST-E00206:201:H5L57ALXX:4:2222:6694:8271,ST-E00206:209:H5CCCALXX:5:1101:17544:47809,ST-E00206:209:H5CCCALXX:5:1104:8947:57742,ST-E00206:209:H5CCCALXX:5:2202:27105:49004,ST-E00206:209:H5CCCALXX:5:1109:19950:65758,ST-E00206:209:H5CCCALXX:5:1224:11657:43414,ST-E00206:209:H5CCCALXX:5:2104:14113:21016,ST-E00206:209:H5CCCALXX:5:1124:25857:49514,ST-E00206:209:H5CCCALXX:5:2110:2126:12525,ST-E00206:209:H5CCCALXX:5:1208:21421:63983,ST-E00206:209:H5CCCALXX:5:1210:2685:46191,ST-E00206:209:H5CCCALXX:5:1211:21797:4719,ST-E00206:209:H5CCCALXX:5:1211:12967:38474,ST-E00206:209:H5CCCALXX:5:1212:12611:36487,ST-E00206:209:H5CCCALXX:5:2112:32028:4825,ST-E00206:209:H5CCCALXX:5:1215:19432:9659,ST-E00206:209:H5CCCALXX:5:1217:32434:20928,ST-E00206:209:H5CCCALXX:5:1217:20264:53786,ST-E00206:201:H5L57ALXX:4:1104:4867:2610,ST-E00206:201:H5L57ALXX:4:1104:26659:5897,ST-E00206:201:H5L57ALXX:4:1105:27542:55280,ST-E00206:201:H5L57ALXX:4:1111:16478:8165,ST-E00206:201:H5L57ALXX:4:1115:6542:13808,ST-E00206:201:H5L57ALXX:4:1117:23177:20260,ST-E00206:201:H5L57ALXX:4:1124:14489:66778,ST-E00206:209:H5CCCALXX:5:2214:9617:24831,ST-E00206:201:H5L57ALXX:4:1208:14651:48600,ST-E00206:201:H5L57ALXX:4:1208:29552:48740,ST-E00206:201:H5L57ALXX:4:1211:10287:53065,ST-E00206:201:H5L57ALXX:4:1214:4319:38966,ST-E00206:201:H5L57ALXX:4:1214:3517:41656,ST-E00206:201:H5L57ALXX:4:1215:31003:61838,ST-E00206:201:H5L57ALXX:4:1220:29135:22774,ST-E00206:201:H5L57ALXX:4:1220:22863:45207,ST-E00206:201:H5L57ALXX:4:1224:22000:60801,ST-E00206:201:H5L57ALXX:4:1224:21919:60906,ST-E00206:201:H5L57ALXX:4:1224:21147:61293,ST-E00206:201:H5L57ALXX:4:2101:12977:47141,ST-E00206:201:H5L57ALXX:4:2109:12662:44521,ST-E00206:201:H5L57ALXX:4:2113:16235:66075,ST-E00206:201:H5L57ALXX:4:2113:16428:66303,ST-E00206:201:H5L57ALXX:4:2117:16093:8306,ST-E00206:201:H5L57ALXX:4:2121:26283:2364,ST-E00206:201:H5L57ALXX:4:2122:9363:53505,ST-E00206:201:H5L57ALXX:4:2124:8023:12261,ST-E00206:201:H5L57ALXX:4:2124:30485:63156,ST-E00206:201:H5L57ALXX:4:2202:8084:41972,ST-E00206:201:H5L57ALXX:4:2202:7973:42025,ST-E00206:201:H5L57ALXX:4:2206:11911:29472,ST-E00206:209:H5CCCALXX:5:2106:31653:62471,ST-E00206:201:H5L57ALXX:4:2209:18935:18362,ST-E00206:201:H5L57ALXX:4:2209:30364:26273,ST-E00206:201:H5L57ALXX:4:2213:3151:31283,ST-E00206:201:H5L57ALXX:4:2213:32586:73230,ST-E00206:201:H5L57ALXX:4:2215:26994:4508,ST-E00206:201:H5L57ALXX:4:2216:8166:27591,ST-E00206:209:H5CCCALXX:5:1223:7770:22440,ST-E00206:201:H5L57ALXX:4:2217:31105:5757,ST-E00206:201:H5L57ALXX:4:2223:21817:71032,ST-E00206:201:H5L57ALXX:4:2224:20599:68747,ST-E00206:201:H5L57ALXX:4:2224:22863:69116,ST-E00206:209:H5CCCALXX:5:1101:20041:52731,ST-E00206:209:H5CCCALXX:5:1104:7029:29912,ST-E00206:209:H5CCCALXX:5:1104:7059:29965,ST-E00206:209:H5CCCALXX:5:1105:9384:44328,ST-E00206:209:H5CCCALXX:5:1106:31176:54190,ST-E00206:209:H5CCCALXX:5:1106:31084:54981,ST-E00206:209:H5CCCALXX:5:1107:3060:8798,ST-E00206:209:H5CCCALXX:5:2212:16204:17395,ST-E00206:209:H5CCCALXX:5:1121:31318:41181,ST-E00206:209:H5CCCALXX:5:2213:7587:53346,ST-E00206:209:H5CCCALXX:5:2101:32658:14178,ST-E00206:209:H5CCCALXX:5:1216:26486:57847,ST-E00206:209:H5CCCALXX:5:1216:27308:60959,ST-E00206:209:H5CCCALXX:5:1216:29968:61873,ST-E00206:209:H5CCCALXX:5:1216:27136:61996,
chr1:7835762|7837149	chr1	7835762	7837149	7	5_6_0	1	0.933	exon	uc001aop.5,uc057bxq.1,uc057bxs.1,uc057bxr.1,	+	ST-E00206:209:H5CCCALXX:5:2118:22842:27556,ST-E00206:209:H5CCCALXX:5:2112:24994:37858,ST-E00206:201:H5L57ALXX:4:2215:18549:29508,ST-E00206:209:H5CCCALXX:5:1102:31764:20436,ST-E00206:209:H5CCCALXX:5:2202:7841:40847,ST-E00206:209:H5CCCALXX:5:1211:11261:11822,ST-E00206:201:H5L57ALXX:4:1118:9363:16762,
chr1:8465925|8508675	chr1	8465925	8508675	3	2_0_2	148	0.039	exon	uc001apf.4,uc057bzf.1,uc010nzx.2,uc057byy.1,uc001ape.4,	-	ST-E00206:209:H5CCCALXX:5:2203:12124:14828,ST-E00206:209:H5CCCALXX:5:1120:30353:36170,ST-E00206:209:H5CCCALXX:5:1203:10693:15971,
chr1:8465925|8541318	chr1	8465925	8541318	6	2_2_0	232	0.049	exon	uc001apf.4,uc057byy.1,uc001ape.4,	-	ST-E00206:209:H5CCCALXX:5:2119:23259:1625,ST-E00206:209:H5CCCALXX:5:2104:21939:9501,ST-E00206:209:H5CCCALXX:5:2116:5364:35186,ST-E00206:209:H5CCCALXX:5:1207:26162:53979,ST-E00206:209:H5CCCALXX:5:1207:26121:54050,ST-E00206:209:H5CCCALXX:5:1211:16438:6653,
chr1:8495063|8541318	chr1	8495063	8541318	18	3_5_6	267	0.119	exon	uc001aph.2,uc057byy.1,uc001ape.4,uc001apf.4,	-	ST-E00206:209:H5CCCALXX:5:2113:9363:8147,ST-E00206:201:H5L57ALXX:4:1221:5090:60097,ST-E00206:201:H5L57ALXX:4:2203:15869:33235,ST-E00206:209:H5CCCALXX:5:2113:9658:7602,ST-E00206:201:H5L57ALXX:4:2210:8186:30299,ST-E00206:201:H5L57ALXX:4:2217:26172:52801,ST-E00206:209:H5CCCALXX:5:1121:19584:36188,ST-E00206:209:H5CCCALXX:5:1217:24517:65723,ST-E00206:201:H5L57ALXX:4:1101:29795:51518,ST-E00206:201:H5L57ALXX:4:1208:7648:27046,ST-E00206:201:H5L57ALXX:4:2204:16397:44380,ST-E00206:201:H5L57ALXX:4:2204:16560:44416,ST-E00206:201:H5L57ALXX:4:2213:10683:19961,ST-E00206:209:H5CCCALXX:5:1104:21493:46596,ST-E00206:209:H5CCCALXX:5:1110:13007:7708,ST-E00206:209:H5CCCALXX:5:1113:4055:31371,ST-E00206:209:H5CCCALXX:5:1201:12682:51307,ST-E00206:209:H5CCCALXX:5:1224:2218:10222,
chr1:8495063|8557523	chr1	8495063	8557523	26	8_9_8	150	0.257	exon	uc001aph.2,uc057byy.1,uc001ape.4,uc001apf.4,	-	ST-E00206:201:H5L57ALXX:4:1105:30313:47598,ST-E00206:201:H5L57ALXX:4:1115:7709:16111,ST-E00206:201:H5L57ALXX:4:1117:11129:43765,ST-E00206:209:H5CCCALXX:5:1221:15504:66215,ST-E00206:201:H5L57ALXX:4:1121:28973:29209,ST-E00206:201:H5L57ALXX:4:1220:25177:37085,ST-E00206:201:H5L57ALXX:4:2108:27440:66602,ST-E00206:201:H5L57ALXX:4:2117:32759:23179,ST-E00206:201:H5L57ALXX:4:2205:24984:64668,ST-E00206:201:H5L57ALXX:4:2212:4501:20717,ST-E00206:209:H5CCCALXX:5:2209:16773:64334,ST-E00206:209:H5CCCALXX:5:1115:9211:25851,ST-E00206:209:H5CCCALXX:5:2213:15798:61135,ST-E00206:209:H5CCCALXX:5:1116:5689:9132,ST-E00206:209:H5CCCALXX:5:1122:26750:42482,ST-E00206:209:H5CCCALXX:5:1205:28405:16973,ST-E00206:209:H5CCCALXX:5:1205:3030:45523,ST-E00206:209:H5CCCALXX:5:1206:20447:25165,ST-E00206:209:H5CCCALXX:5:1208:30161:18362,ST-E00206:209:H5CCCALXX:5:1214:20325:22141,ST-E00206:201:H5L57ALXX:4:1223:25451:49549,ST-E00206:201:H5L57ALXX:4:1223:25400:49707,ST-E00206:201:H5L57ALXX:4:2202:14570:33903,ST-E00206:209:H5CCCALXX:5:1115:8967:47475,ST-E00206:209:H5CCCALXX:5:1209:30577:48723,ST-E00206:209:H5CCCALXX:5:1209:30465:48776,
chr1:8495063|8614686	chr1	8495063	8614686	10	4_5_3	116	0.147	exon	uc001aph.2,uc057byy.1,uc001ape.4,uc001apf.4,	-	ST-E00206:201:H5L57ALXX:4:1107:24913:42218,ST-E00206:201:H5L57ALXX:4:1213:32302:30158,ST-E00206:209:H5CCCALXX:5:2203:19818:66373,ST-E00206:209:H5CCCALXX:5:2221:9962:28347,ST-E00206:209:H5CCCALXX:5:2203:19767:60097,ST-E00206:209:H5CCCALXX:5:1119:30973:45154,ST-E00206:209:H5CCCALXX:5:1124:16651:6530,ST-E00206:209:H5CCCALXX:5:1207:12104:51958,ST-E00206:201:H5L57ALXX:4:1223:13007:33164,ST-E00206:209:H5CCCALXX:5:2124:20508:29736,
chr1:8508627|8557523	chr1	8508627	8557523	13	0_2_4	148	0.149	exon	uc001apf.4,uc057byy.1,uc001aph.2,uc001ape.4,	-	ST-E00206:201:H5L57ALXX:4:1211:11241:51413,ST-E00206:209:H5CCCALXX:5:2224:17199:70136,ST-E00206:201:H5L57ALXX:4:2203:21797:40267,ST-E00206:209:H5CCCALXX:5:2203:12581:56898,ST-E00206:209:H5CCCALXX:5:2221:13291:28277,ST-E00206:209:H5CCCALXX:5:2110:11982:43941,ST-E00206:201:H5L57ALXX:4:1123:12611:61381,ST-E00206:201:H5L57ALXX:4:2110:28790:10925,ST-E00206:209:H5CCCALXX:5:2110:12002:43871,ST-E00206:209:H5CCCALXX:5:2110:11799:43378,ST-E00206:201:H5L57ALXX:4:2211:5527:30474,ST-E00206:209:H5CCCALXX:5:1212:12967:3946,ST-E00206:209:H5CCCALXX:5:2110:12835:45066,
chr1:8508627|8614686	chr1	8508627	8614686	4	1_2_1	107	0.070	exon	uc001apf.4,uc057byy.1,uc001aph.2,uc001ape.4,	-	ST-E00206:201:H5L57ALXX:4:2121:20214:21913,ST-E00206:209:H5CCCALXX:5:1109:28801:32180,ST-E00206:209:H5CCCALXX:5:1205:14164:39774,ST-E00206:209:H5CCCALXX:5:1205:14205:39950,
chr1:8541214|8557523	chr1	8541214	8557523	85	17_18_19	143	0.543	exon	uc001ape.4,uc057byy.1,uc001aph.2,uc001apf.4,	-	ST-E00206:201:H5L57ALXX:4:1103:29988:31635,ST-E00206:209:H5CCCALXX:5:2224:7414:46262,ST-E00206:209:H5CCCALXX:5:2224:7648:45822,ST-E00206:201:H5L57ALXX:4:1111:24669:39616,ST-E00206:209:H5CCCALXX:5:2223:28425:18028,ST-E00206:201:H5L57ALXX:4:1116:2461:64264,ST-E00206:201:H5L57ALXX:4:1214:31013:70224,ST-E00206:209:H5CCCALXX:5:2219:4085:40495,ST-E00206:201:H5L57ALXX:4:1220:24091:20893,ST-E00206:201:H5L57ALXX:4:1221:8247:61592,ST-E00206:201:H5L57ALXX:4:2103:11393:67885,ST-E00206:201:H5L57ALXX:4:2116:16407:45242,ST-E00206:201:H5L57ALXX:4:2122:13809:38069,ST-E00206:201:H5L57ALXX:4:2124:4177:19557,ST-E00206:201:H5L57ALXX:4:2202:6430:22053,ST-E00206:201:H5L57ALXX:4:2202:6653:22370,ST-E00206:201:H5L57ALXX:4:2202:14733:35731,ST-E00206:201:H5L57ALXX:4:2204:17504:46824,ST-E00206:201:H5L57ALXX:4:2209:21188:61644,ST-E00206:201:H5L57ALXX:4:2215:19158:12314,ST-E00206:201:H5L57ALXX:4:2215:21888:35643,ST-E00206:209:H5CCCALXX:5:2118:7130:12437,ST-E00206:201:H5L57ALXX:4:2219:29156:59095,ST-E00206:201:H5L57ALXX:4:2219:30222:59324,ST-E00206:201:H5L57ALXX:4:2220:10825:62014,ST-E00206:201:H5L57ALXX:4:2221:27633:14160,ST-E00206:209:H5CCCALXX:5:2111:30079:17307,ST-E00206:209:H5CCCALXX:5:1101:14215:26923,ST-E00206:209:H5CCCALXX:5:1101:8206:63807,ST-E00206:209:H5CCCALXX:5:1105:4816:5616,ST-E00206:209:H5CCCALXX:5:2119:24862:37278,ST-E00206:209:H5CCCALXX:5:2121:24324:59482,ST-E00206:209:H5CCCALXX:5:1109:16001:44046,ST-E00206:209:H5CCCALXX:5:1109:3283:50920,ST-E00206:209:H5CCCALXX:5:1109:3537:50938,ST-E00206:209:H5CCCALXX:5:1111:22081:6512,ST-E00206:209:H5CCCALXX:5:1114:26984:39440,ST-E00206:209:H5CCCALXX:5:1118:16935:10925,ST-E00206:209:H5CCCALXX:5:1122:22457:66409,ST-E00206:209:H5CCCALXX:5:1201:11109:61275,ST-E00206:209:H5CCCALXX:5:1201:11759:62928,ST-E00206:209:H5CCCALXX:5:1206:12439:65477,ST-E00206:209:H5CCCALXX:5:1208:21929:39898,ST-E00206:209:H5CCCALXX:5:2219:4227:40249,ST-E00206:209:H5CCCALXX:5:1215:13352:62699,ST-E00206:209:H5CCCALXX:5:2123:13819:10521,ST-E00206:201:H5L57ALXX:4:1105:16326:10644,ST-E00206:201:H5L57ALXX:4:1109:20122:4737,ST-E00206:201:H5L57ALXX:4:1111:9323:33533,ST-E00206:209:H5CCCALXX:5:2124:22924:30369,ST-E00206:201:H5L57ALXX:4:1115:6592:26378,ST-E00206:209:H5CCCALXX:5:2106:22386:14037,ST-E00206:201:H5L57ALXX:4:1117:2289:64738,ST-E00206:209:H5CCCALXX:5:1221:11596:4526,ST-E00206:209:H5CCCALXX:5:2123:13728:10574,ST-E00206:201:H5L57ALXX:4:1124:30140:4227,ST-E00206:201:H5L57ALXX:4:1124:14377:65389,ST-E00206:201:H5L57ALXX:4:1213:14408:2434,ST-E00206:201:H5L57ALXX:4:1215:32038:69960,ST-E00206:201:H5L57ALXX:4:1217:13616:51940,ST-E00206:201:H5L57ALXX:4:1217:13738:51975,ST-E00206:201:H5L57ALXX:4:2103:10815:47721,ST-E00206:201:H5L57ALXX:4:2108:15007:67077,ST-E00206:201:H5L57ALXX:4:2122:13657:31441,ST-E00206:201:H5L57ALXX:4:2202:4755:52380,ST-E00206:201:H5L57ALXX:4:2204:31470:28365,ST-E00206:201:H5L57ALXX:4:2210:5912:55298,ST-E00206:201:H5L57ALXX:4:2223:12987:58691,ST-E00206:209:H5CCCALXX:5:1101:11403:40583,ST-E00206:209:H5CCCALXX:5:2212:14093:28716,ST-E00206:209:H5CCCALXX:5:2209:11292:33815,ST-E00206:209:H5CCCALXX:5:1119:23167:51184,ST-E00206:209:H5CCCALXX:5:1219:8988:47334,ST-E00206:209:H5CCCALXX:5:2117:13819:41216,ST-E00206:209:H5CCCALXX:5:1121:2015:15953,ST-E00206:209:H5CCCALXX:5:1121:2136:18344,ST-E00206:209:H5CCCALXX:5:1122:21411:2047,ST-E00206:209:H5CCCALXX:5:1122:21635:2258,ST-E00206:209:H5CCCALXX:5:1122:16184:3155,ST-E00206:209:H5CCCALXX:5:1124:21290:42341,ST-E00206:209:H5CCCALXX:5:1203:24000:19258,ST-E00206:209:H5CCCALXX:5:1204:22345:41251,ST-E00206:209:H5CCCALXX:5:2213:13565:22001,ST-E00206:209:H5CCCALXX:5:1209:12317:49198,ST-E00206:209:H5CCCALXX:5:1210:26405:43115,
